Date,Calls,Gym,Movies,Dates,Books,Meals,Nickname,Flowers,"Photos "
01/01/2025,8,No,,,,,ghost pepper,,3
01/02/2025,4,No,,,,,,,
01/03/2025,6,No,,,,,,,
01/04/2025,4,No,,,,,ghost pepper,,
01/05/2025,7,No,,,,,,,2
01/06/2025,4,No,,,,,,,4
01/07/2025,3,No,,,,,,,
01/08/2025,,No,,,,,teddy bear,Fusca roses,1
01/09/2025,,Yes,,,,1. Mango 2. peaches,,,
01/10/2025,,Yes,,,,,,,
01/11/2025,,Yes,Supercross,Botanical garden,,,,,1
01/12/2025,,No,,,,,Egg,,
01/13/2025,,Yes,,,,,Egg,,
01/14/2025,,Yes,,,I got a motorcycle and I didn't even ask for one - rory at 4 for Christmas before learning how to ride a bike. Started the gym freshman year of hs,,,,
01/15/2025,,Yes,,,I work on the transcription factor a in mitochondria,,Egg,,
01/16/2025,,Yes,,,On a scale of 1-10 ur an 8005 - rs,,,,
01/17/2025,,Yes,,Valhalla,,,Egg,,
01/18/2025,,Yes,,,Hard times & The energy of life,Jimmy Johns,teddy bear,,
01/19/2025,,Yes,,,,Pit room :$,Egg,,2
01/20/2025,,No,Lion king 2,,What if? & The energy of life,,Tofu,,
01/21/2025,,No,The Conclave,Snow day!! ❄️,What if? & Strange the dreamer,,,,10
01/22/2025,,Yes,,,What if? & Strange the Dreamer,,teddy bear,,
01/23/2025,,Yes,,,,,Egg,,
01/24/2025,,Yes,,,,,Egg,,
01/25/2025,,Yes,,,,,,Yellow - fire roses,
01/26/2025,,Yes,,Aquarium!!,,,,,
01/27/2025,,Yes,,,,,,,
01/28/2025,,Yes,,,,,Bean,,
01/29/2025,,Yes,,,,,Bean,,
01/30/2025,,Yes,,,,,Bean,,
01/31/2025,,Yes,,,,,Hitch hiker,,
02/01/2025,,Yes,,,,,,Red rose 🌹,
02/02/2025,,No,,Soccer 2-1 win,,Cooking girl,,,
02/03/2025,1,Yes,,,,,,,
02/04/2025,,Yes,,,,,,,
02/05/2025,,Yes,,,,,,,
02/06/2025,,Yes,,"Sur la table- best quote: you would think in broth there is bone because of the B, well it's not. What are whispies? Small whisps. Are you a brand new couple? Nerdss. Tirameesu. It's not a texas bbq - olga. Take the picture from ur belly. Is it brown enough? It's up to you - donuts. ",,,,,10
02/07/2025,,Yes,,,,,,,
02/08/2025,,Yes,,,,The burger joint,,,
02/09/2025,,No,,Superbowl sunday!!,,,,,
02/10/2025,,Yes,,,,,,,
02/11/2025,,Yes,,,,,,,
02/12/2025,,Yes,,,,,,,
02/13/2025,,Yes,,Valhalla,,,,,
02/14/2025,,Yes,,,,,,,
02/15/2025,,Yes,,,,Steak and fries and broccoli,,Orange rose,
02/16/2025,,No,Holy spider,,,,,,
02/17/2025,,Yes,Snl 50,,,,,,
02/18/2025,,Yes,Snl 50,,,,,,
02/19/2025,,Yes,,,,,Egg,,
02/20/2025,,Yes,,,,,Egg,,
02/21/2025,,Yes,No hard feelings,,,Bambolino,Dragon,,
02/22/2025,,Yes,Supercross,,,Ramen Tatsu-ya and Burger Joint,Dragon,Purple - pink,2
02/23/2025,,No,Spanglish,,Strange the Dreamer & what if?,,,,
02/24/2025,,Yes,,,,,,,
02/25/2025,,Yes,,,,,,,
02/26/2025,,Yes,,,,,,,
02/27/2025,,Yes,,,,,,,
02/28/2025,,Yes,,Valhalla,,,,,
03/01/2025,,Yes,,,,,,,
03/02/2025,,No,,,,House of pies,,,
03/03/2025,,Yes,Carry-on,,,,,,
03/04/2025,,Yes,,,,,,,
03/05/2025,,Yes,,,,,,,
03/06/2025,,Yes,,,,,,,
03/07/2025,,Yes,,,,,,,
03/08/2025,,Yes,,Houston Zoo,,Fogo de Chao,,,
03/09/2025,,No,,,,,,"Multi color - white, yellow, pink",
03/10/2025,,Yes,,,,,,,
03/11/2025,,Yes,,,,,,,
03/12/2025,,Yes,,,,,,,
03/13/2025,,Yes,,,,,,,
03/14/2025,,Yes,Rebel ridge,,,,,,
03/15/2025,,Yes,,,,Honey Pig,,,2
03/16/2025,,No,Finished The Middle,,,,,,
03/17/2025,,Yes,,,,,,,
03/18/2025,,Yes,,,,,,,
03/19/2025,3,Yes,,,,,,,
03/20/2025,1,No,,,,,,,
03/21/2025,10,No,,,,,,,
03/22/2025,2,No,,,,,,,
03/23/2025,4,No,,,,,,,
03/24/2025,1,No,,,,Jimmy Johns,,,
03/25/2025,,Yes,,,,,,,
03/26/2025,1,Yes,Just go with it!,,,,,,
03/27/2025,,Yes,Moana,,,,,,
03/28/2025,,Yes,,,,,,,
03/29/2025,,Yes,,,,Hopdoddy,,,
03/30/2025,,No,Moana 2,,,Mendocino Farms,,,
03/31/2025,,Yes,,,,,,,
04/01/2025,,Yes,,,,,,,
04/02/2025,,Yes,,,,,,,
04/03/2025,,Yes,,,,Common Bond,,,
04/04/2025,,Yes,,,,,,,
04/05/2025,,Yes,,,,,,,
04/06/2025,,No,"Finished s1 handmaid's tale ",,,,,,
04/07/2025,,Yes,,,,,,,
04/08/2025,,Yes,,,,,,,
04/09/2025,,Yes,,,,,,,
04/10/2025,,Yes,Finished s2 handmaid's tale,,,,,,
04/11/2025,2,Yes,,,,,,,
04/12/2025,1,No,,,,,,,
04/13/2025,4,No,,,,,,,
04/14/2025,3,No,,,,Mendocino Farms,,,
04/15/2025,4,No,,,,,,,
04/16/2025,,No,,,,,,,
04/17/2025,,Yes,,,,,,,
04/18/2025,,Yes,,,,Hopdoddy,,,
04/19/2025,,Yes,,,,Hopdoddy,,,
04/20/2025,,No,Finished s3 of handmaid's tale,,,,,,
04/21/2025,,Yes,,,,,,,
04/22/2025,,Yes,,,,Mendocino Farms,,,
04/23/2025,,Yes,,,,,,,
04/24/2025,,Yes,,,,,,,
04/25/2025,,Yes,,,,Burger Joint,,,
04/26/2025,,Yes,,Rock climbing,,Mendocino Farms,,,
04/27/2025,,No,,,,,,,
04/28/2025,,Yes,Finished s4 of handmaid's tale,,,,,,
04/29/2025,,Yes,,,,,,,
04/30/2025,,Yes,,,,,,,
05/01/2025,,Yes,,Move-in!,,,,,
05/02/2025,,Yes,,,,,,,
05/03/2025,,Yes,,,,,,Red roses and white little flowers,
05/04/2025,,No,,Legos mini bouquet,,,,,
05/05/2025,,Yes,,,,,,,
05/06/2025,,Yes,,,,,,,
05/07/2025,,Yes,,,,,,,
05/08/2025,,Yes,,,,,,,
05/09/2025,,Yes,,,,,,,
05/10/2025,,No,,,,,,,
05/11/2025,,No,,,,,,,
05/12/2025,,No,,,,,,Fire - yellow and orange,
05/13/2025,,No,,,,,,,
05/14/2025,,Yes,Finished s5 of handmaid's tale,,,,,,
05/15/2025,,Yes,,,,,,,
05/16/2025,,Yes,,,,,,,
05/17/2025,,Yes,,,,,,,
05/18/2025,,No,,,,Hopdoddy,,,
05/19/2025,,Yes,,,,,,,
05/20/2025,,Yes,,,,,,,
05/21/2025,,Yes,,,,,,,
05/22/2025,,Yes,,,,,,,
05/23/2025,,Yes,,,,kasra,,,
05/24/2025,,Yes,Motocross,,,,,,
05/25/2025,,Yes,The Wild Robot,,,,,,
05/26/2025,,No,,Galveston,,Miller’s Seawall Grill Galveston and Hopdoddy Rice Village and Baskin Robins Rice Village,,,
05/27/2025,,Yes,Finished s6 handmaid's tale,,,,,,
05/28/2025,1,Yes,,Valhalla raul’s birthday,,,,,
05/29/2025,,Yes,,,,Mendocino Farms,,,
05/30/2025,4,No,,,,,,,
05/31/2025,3,No,,,,,,,
06/01/2025,7,No,,,,,,,
06/02/2025,4,No,,,,,,,
06/03/2025,5,No,,,,,,,
06/04/2025,7,No,,,,,,,
06/05/2025,6,No,,,,,,,
06/06/2025,5,No,,,,,,,
06/07/2025,9,No,,,,,,,
06/08/2025,6,No,,,,,,,
06/09/2025,4,No,,,,,,,
06/10/2025,11,No,,,,,,,
06/11/2025,4,No,,,,,,,
06/12/2025,3,No,,,,,,,
06/13/2025,2,No,,,,,,,
06/14/2025,,Yes,,Baseball game 3-2 W triple date,,,,Sunflower🌼,
06/15/2025,,Yes,,,,Burger Joint,,,
06/16/2025,,Yes,,,,Baskin Robins,,,
06/17/2025,,Yes,,,,,,,
06/18/2025,,Yes,,,,Baskin Robins,,,
06/19/2025,,No,,,,,,,
06/20/2025,,No,Ballads of songbirds and snakes,,,,,,
06/21/2025,,No,,,,,,"Roses: red, orange, pink",
06/22/2025,,Yes,,,,Baskin Robins,,,
06/23/2025,,Yes,,,,,,,
06/24/2025,,Yes,,,,,,,
06/25/2025,,Yes,,,,,,,
06/26/2025,,Yes,,,,,,,
06/27/2025,,Yes,,,,,,,
06/28/2025,,Yes,The Old Guard,Bowling,,,,,
06/29/2025,,No,,,,,,,
06/30/2025,,Yes,,,,,,,
07/01/2025,,Yes,,,,,,,
07/02/2025,,Yes,The Old Guard 2,,,,,,
07/03/2025,,No,,,,Baskin Robins,,,
07/04/2025,,No,,Fireworks,,Velvet Taco,,,
07/05/2025,,No,,,,,,,
07/06/2025,,No,Gold cup 2-1 mex,,,,,,
07/07/2025,,Yes,,,,Pit Room,,Hot pink assortment,
07/08/2025,,Yes,,,,,,,
07/09/2025,,Yes,,,,,Qt patootie,,
07/10/2025,,Yes,,,,Burger Joint,Qt patootie,,
07/11/2025,,Yes,,,,Baskin Robins,Qt patootie,,
07/12/2025,,Yes,,,,Sushi masa westheimer,Qt patootie,,
07/13/2025,,No,,,,,Qt patootie,,
07/14/2025,,No,The Accountant,,,,Qt patootie,,
07/15/2025,,Yes,,,,,Qt patootie,,
07/16/2025,,Yes,,,,Burger Joint,Qt patootie,,
07/17/2025,,Yes,The Accountant 2,,,,Qt patootie,,
07/18/2025,,Yes,,,,,Qt patootie,,
07/19/2025,,Yes,,,,,Qt patootie,,
07/20/2025,,No,,,,Candente,Pookie,Yellow and orange- fire roses,
07/21/2025,,Yes,,,,,Mort,,
07/22/2025,,Yes,,,,,,,
07/23/2025,,Yes,Sara: woman in the shadows,,,,,,
07/24/2025,,Yes,,,,,,,
07/25/2025,,Yes,,,,Common Bond Holcombe,,,
07/26/2025,,Yes,,,,Kasra Rice Village,,,
07/27/2025,,No,,Cidercade,,Kirby Ice House,,,
07/28/2025,,Yes,,,,,,,
07/29/2025,,Yes,,,,,,,
07/30/2025,,Yes,,,,,,,
07/31/2025,,Yes,,,,,,,
08/01/2025,,Yes,,Moving our friends livelihood,,,,,
08/02/2025,,Yes,,"Billiards, 6 games",,,Mort,,
08/03/2025,,No,,,,Masa sushi w matt and jiwoo,Mort,,
08/04/2025,,Yes,,,,,,,
08/05/2025,,Yes,,,,,,,
08/06/2025,,Yes,,,,,,,
08/07/2025,,No,,,,,,,
08/08/2025,,No,,,,,,,
08/09/2025,,No,,,,,,,
08/10/2025,,No,,,,,,,
08/11/2025,,No,,,,,,,
08/12/2025,,No,,,,,,,
08/13/2025,,No,,,,,,,
08/14/2025,,No,,,,,,,
08/15/2025,,No,,,,,,,
08/16/2025,,No,,,,,,,
08/17/2025,,No,,,,,,,
08/18/2025,,No,,,,,,,
08/19/2025,,No,,,,,,,
08/20/2025,,No,,,,,,,
08/21/2025,,No,,,,,,,
08/22/2025,,No,,,,,,,
08/23/2025,,No,,,,,,,
08/24/2025,,No,,,,,,,
08/25/2025,,No,,,,,,,
08/26/2025,,No,,,,,,,
08/27/2025,,No,,,,,,,
08/28/2025,,No,,,,,,,
08/29/2025,,No,,,,,,,
08/30/2025,,No,,,,,,,
08/31/2025,,No,,,,,,,
09/01/2025,,No,,,,,,,
09/02/2025,,No,,,,,,,
09/03/2025,,No,,,,,,,
09/04/2025,,No,,,,,,,
09/05/2025,,No,,,,,,,
09/06/2025,,No,,,,,,,
09/07/2025,,No,,,,,,,
09/08/2025,,No,,,,,,,
09/09/2025,,No,,,,,,,
09/10/2025,,No,,,,,,,
09/11/2025,,No,,,,,,,
09/12/2025,,No,,,,,,,
09/13/2025,,No,,,,,,,
09/14/2025,,No,,,,,,,
09/15/2025,,No,,,,,,,
09/16/2025,,No,,,,,,,
09/17/2025,,No,,,,,,,
09/18/2025,,No,,,,,,,
09/19/2025,,No,,,,,,,
09/20/2025,,No,,,,,,,
09/21/2025,,No,,,,,,,
09/22/2025,,No,,,,,,,
09/23/2025,,No,,,,,,,
09/24/2025,,No,,,,,,,
09/25/2025,,No,,,,,,,
09/26/2025,,No,,,,,,,
09/27/2025,,No,,,,,,,
09/28/2025,,No,,,,,,,
09/29/2025,,No,,,,,,,
09/30/2025,,No,,,,,,,
10/01/2025,,No,,,,,,,
10/02/2025,,No,,,,,,,
10/03/2025,,No,,,,,,,
10/04/2025,,No,,,,,,,
10/05/2025,,No,,,,,,,
10/06/2025,,No,,,,,,,
10/07/2025,,No,,,,,,,
10/08/2025,,No,,,,,,,
10/09/2025,,No,,,,,,,
10/10/2025,,No,,,,,,,
10/11/2025,,No,,,,,,,
10/12/2025,,No,,,,,,,
10/13/2025,,No,,,,,,,
10/14/2025,,No,,,,,,,
10/15/2025,,No,,,,,,,
10/16/2025,,No,,,,,,,
10/17/2025,,No,,,,,,,
10/18/2025,,No,,,,,,,
10/19/2025,,No,,,,,,,
10/20/2025,,No,,,,,,,
10/21/2025,,No,,,,,,,
10/22/2025,,No,,,,,,,
10/23/2025,,No,,,,,,,
10/24/2025,,No,,,,,,,
10/25/2025,,No,,,,,,,
10/26/2025,,No,,,,,,,
10/27/2025,,No,,,,,,,
10/28/2025,,No,,,,,,,
10/29/2025,,No,,,,,,,
10/30/2025,,No,,,,,,,
10/31/2025,,No,,,,,,,
11/01/2025,,No,,,,,,,
11/02/2025,,No,,,,,,,
11/03/2025,,No,,,,,,,
11/04/2025,,No,,,,,,,
11/05/2025,,No,,,,,,,
11/06/2025,,No,,,,,,,
11/07/2025,,No,,,,,,,
11/08/2025,,No,,,,,,,
11/09/2025,,No,,,,,,,
11/10/2025,,No,,,,,,,
11/11/2025,,No,,,,,,,
11/12/2025,,No,,,,,,,
11/13/2025,,No,,,,,,,
11/14/2025,,No,,,,,,,
11/15/2025,,No,,,,,,,
11/16/2025,,No,,,,,,,
11/17/2025,,No,,,,,,,
11/18/2025,,No,,,,,,,
11/19/2025,,No,,,,,,,
11/20/2025,,No,,,,,,,
11/21/2025,,No,,,,,,,
11/22/2025,,No,,,,,,,
11/23/2025,,No,,,,,,,
11/24/2025,,No,,,,,,,
11/25/2025,,No,,,,,,,
11/26/2025,,No,,,,,,,
11/27/2025,,No,,,,,,,
11/28/2025,,No,,,,,,,
11/29/2025,,No,,,,,,,
11/30/2025,,No,,,,,,,
12/01/2025,,No,,,,,,,
12/02/2025,,No,,,,,,,
12/03/2025,,No,,,,,,,
12/04/2025,,No,,,,,,,
12/05/2025,,No,,,,,,,
12/06/2025,,No,,,,,,,
12/07/2025,,No,,,,,,,
12/08/2025,,No,,,,,,,
12/09/2025,,No,,,,,,,
12/10/2025,,No,,,,,,,
12/11/2025,,No,,,,,,,
12/12/2025,,No,,,,,,,
12/13/2025,,No,,,,,,,
12/14/2025,,No,,,,,,,
12/15/2025,,No,,,,,,,
12/16/2025,,No,,,,,,,
12/17/2025,,No,,,,,,,
12/18/2025,,No,,,,,,,
12/19/2025,,No,,,,,,,
12/20/2025,,No,,,,,,,
12/21/2025,,No,,,,,,,
12/22/2025,,No,,,,,,,
12/23/2025,,No,,,,,,,
12/24/2025,,No,,,,,,,
12/25/2025,,No,,,,,,,
12/26/2025,,No,,,,,,,
12/27/2025,,No,,,,,,,
12/28/2025,,No,,,,,,,
12/29/2025,,No,,,,,,,
12/30/2025,,No,,,,,,,
12/31/2025,,No,,,,,,,